abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,image
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,Magnet Pokemon,95,1000000,1,50,Rarecoilレアコイル,Magneton,N/A,82,120,70,70,electric,steel,60,1,0,82.jpg
"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,5120,70,377,45,Wild Duck Pokemon,55,1000000,0.8,52,Kamonegiカモネギ,Farfetch'd,50,83,58,62,60,normal,flying,15,1,0,83.jpg
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pokemon,45,1000000,1.4,35,Dodoドードー,Doduo,50,84,35,35,75,normal,flying,39.2,1,0,84.jpg
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,Triple Bird Pokemon,70,1000000,1.8,60,Dodorioドードリオ,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0,85.jpg
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,Sea Lion Pokemon,55,1000000,1.1,65,Pawouパウワウ,Seel,50,86,45,70,45,water,N/A,90,1,0,86.jpg
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,Sea Lion Pokemon,80,1000000,1.7,90,Jugonジュゴン,Dewgong,50,87,70,95,70,water,ice,120,1,0,87.jpg
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pokemon,50,1000000,N/A,80,Betbeterベトベター,Grimer,50,88,40,50,25,poison,poison,N/A,1,0,88.jpg
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,5120,70,500,75,Sludge Pokemon,75,1000000,N/A,105,Betbetonベトベトン,Muk,50,89,65,100,50,poison,poison,N/A,1,0,89.jpg
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,305,190,Bivalve Pokemon,100,1250000,0.3,30,Shellderシェルダー,Shellder,50,90,45,25,40,water,N/A,4,1,0,90.jpg
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,5120,70,525,60,Bivalve Pokemon,180,1250000,1.5,50,Parshenパルシェン,Cloyster,50,91,85,45,70,water,ice,132.5,1,0,91.jpg
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,5120,70,310,190,Gas Pokemon,30,1059860,1.3,30,Ghosゴース,Gastly,50,92,100,35,80,ghost,poison,0.1,1,0,92.jpg
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,5120,70,405,90,Gas Pokemon,45,1059860,1.6,45,Ghostゴースト,Haunter,50,93,115,55,95,ghost,poison,0.1,1,0,93.jpg
['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,5120,70,600,45,Shadow Pokemon,80,1059860,1.5,60,Gangarゲンガー,Gengar,50,94,170,95,130,ghost,poison,40.5,1,0,94.jpg
"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,6400,70,385,45,Rock Snake Pokemon,160,1000000,8.8,35,Iwarkイワーク,Onix,50,95,30,45,70,rock,ground,210,1,0,95.jpg
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,5120,70,328,190,Hypnosis Pokemon,45,1000000,1,60,Sleepeスリープ,Drowzee,50,96,43,90,42,psychic,N/A,32.4,1,0,96.jpg
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,5120,70,483,75,Hypnosis Pokemon,70,1000000,1.6,85,Sleeperスリーパー,Hypno,50,97,73,115,67,psychic,N/A,75.6,1,0,97.jpg
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,325,225,River Crab Pokemon,90,1000000,0.4,30,Crabクラブ,Krabby,50,98,25,25,50,water,N/A,6.5,1,0,98.jpg
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,Pincer Pokemon,115,1000000,1.3,55,Kinglerキングラー,Kingler,50,99,50,50,75,water,N/A,60,1,0,99.jpg
"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,5120,70,330,190,Ball Pokemon,50,1000000,0.5,40,Biriridamaビリリダマ,Voltorb,N/A,100,55,55,100,electric,N/A,10.4,1,0,100.jpg
"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,490,60,Ball Pokemon,70,1000000,1.2,60,Marumineマルマイン,Electrode,N/A,101,80,80,150,electric,N/A,66.6,1,0,101.jpg
"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,Egg Pokemon,80,1250000,0.4,60,Tamatamaタマタマ,Exeggcute,50,102,60,45,40,grass,psychic,2.5,1,0,102.jpg
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,5120,70,530,45,Coconut Pokemon,85,1250000,N/A,95,Nassyナッシー,Exeggutor,50,103,125,75,45,grass,psychic,N/A,1,0,103.jpg
"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,Lonely Pokemon,95,1000000,0.4,50,Karakaraカラカラ,Cubone,50,104,40,50,35,ground,N/A,6.5,1,0,104.jpg
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,5120,70,425,75,Bone Keeper Pokemon,110,1000000,N/A,60,Garagaraガラガラ,Marowak,50,105,50,80,45,ground,fire,N/A,1,0,105.jpg
"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,6400,70,455,45,Kicking Pokemon,53,1000000,1.5,50,Sawamularサワムラー,Hitmonlee,100,106,35,110,87,fighting,N/A,49.8,1,0,106.jpg
"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,6400,70,455,45,Punching Pokemon,79,1000000,1.4,50,Ebiwalarエビワラー,Hitmonchan,100,107,35,110,76,fighting,N/A,50.2,1,0,107.jpg
"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,5120,70,385,45,Licking Pokemon,75,1000000,1.2,90,Beroringaベロリンガ,Lickitung,50,108,60,75,30,normal,N/A,65.5,1,0,108.jpg
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,Poison Gas Pokemon,95,1000000,0.6,40,Dogarsドガース,Koffing,50,109,60,45,35,poison,N/A,1,1,0,109.jpg
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,5120,70,490,60,Poison Gas Pokemon,120,1000000,1.2,65,Matadogasマタドガス,Weezing,50,110,85,70,60,poison,N/A,9.5,1,0,110.jpg
"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,5120,70,345,120,Spikes Pokemon,95,1250000,1,80,Sihornサイホーン,Rhyhorn,50,111,30,30,25,ground,rock,115,1,0,111.jpg
"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,Drill Pokemon,120,1250000,1.9,105,Sidonサイドン,Rhydon,50,112,45,45,40,ground,rock,120,1,0,112.jpg
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,Egg Pokemon,5,800000,1.1,250,Luckyラッキー,Chansey,0,113,35,105,50,normal,N/A,34.6,1,0,113.jpg
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,5120,70,435,45,Vine Pokemon,115,1000000,1,65,Monjaraモンジャラ,Tangela,50,114,100,40,60,grass,N/A,35,1,0,114.jpg
"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,5120,70,590,45,Parent Pokemon,100,1000000,2.2,105,Garuraガルーラ,Kangaskhan,0,115,60,100,100,normal,N/A,80,1,0,115.jpg
"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,Dragon Pokemon,70,1000000,0.4,30,Tattuタッツー,Horsea,50,116,70,25,60,water,N/A,8,1,0,116.jpg
"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,440,75,Dragon Pokemon,95,1000000,1.2,55,Seadraシードラ,Seadra,50,117,95,45,85,water,N/A,25,1,0,117.jpg
"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,5120,70,320,225,Goldfish Pokemon,60,1000000,0.6,45,Tosakintoトサキント,Goldeen,50,118,35,50,63,water,N/A,15,1,0,118.jpg
"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,5120,70,450,60,Goldfish Pokemon,65,1000000,1.3,80,Azumaoアズマオウ,Seaking,50,119,65,80,68,water,N/A,39,1,0,119.jpg
"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,340,225,Starshape Pokemon,55,1250000,0.8,30,Hitodemanヒトデマン,Staryu,N/A,120,70,55,85,water,N/A,34.5,1,0,120.jpg
"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,520,60,Mysterious Pokemon,85,1250000,1.1,60,Starmieスターミー,Starmie,N/A,121,100,85,115,water,psychic,80,1,0,121.jpg
"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,6400,70,460,45,Barrier Pokemon,65,1000000,1.3,40,Barrierdバリヤード,Mr. Mime,50,122,100,120,90,psychic,fairy,54.5,1,0,122.jpg
"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,6400,70,500,45,Mantis Pokemon,80,1000000,1.5,70,Strikeストライク,Scyther,50,123,55,80,105,bug,flying,56,1,0,123.jpg
"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,6400,70,455,45,Humanshape Pokemon,35,1000000,1.4,65,Rougelaルージュラ,Jynx,0,124,115,95,95,ice,psychic,40.6,1,0,124.jpg
"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,6400,70,490,45,Electric Pokemon,57,1000000,1.1,65,Elebooエレブー,Electabuzz,75.4,125,95,85,105,electric,N/A,30,1,0,125.jpg
"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,6400,70,495,45,Spitfire Pokemon,57,1000000,1.3,65,Booberブーバー,Magmar,75.4,126,100,85,93,fire,N/A,44.5,1,0,126.jpg
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,6400,70,600,45,Stagbeetle Pokemon,120,1250000,1.5,65,Kailiosカイロス,Pinsir,50,127,65,90,105,bug,N/A,55,1,0,127.jpg
"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,490,45,Wild Bull Pokemon,95,1250000,1.4,75,Kentaurosケンタロス,Tauros,100,128,40,70,110,normal,N/A,88.4,1,0,128.jpg
"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,1280,70,200,255,Fish Pokemon,55,1250000,0.9,20,Koikingコイキング,Magikarp,50,129,15,20,80,water,N/A,10,1,0,129.jpg
"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,1280,70,640,45,Atrocious Pokemon,109,1250000,6.5,95,Gyaradosギャラドス,Gyarados,50,130,70,130,81,water,flying,235,1,0,130.jpg
"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,10240,70,535,45,Transport Pokemon,80,1250000,2.5,130,Laplaceラプラス,Lapras,50,131,85,95,60,water,ice,220,1,0,131.jpg
"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,Transform Pokemon,48,1000000,0.3,48,Metamonメタモン,Ditto,N/A,132,48,48,48,normal,N/A,4,1,0,132.jpg
"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,Evolution Pokemon,50,1000000,0.3,55,Eievuiイーブイ,Eevee,88.1,133,45,65,55,normal,N/A,6.5,1,0,133.jpg
"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,8960,70,525,45,Bubble Jet Pokemon,60,1000000,1,130,Showersシャワーズ,Vaporeon,88.1,134,110,95,65,water,N/A,29,1,0,134.jpg
"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,8960,70,525,45,Lightning Pokemon,60,1000000,0.8,65,Thundersサンダース,Jolteon,88.1,135,110,95,130,electric,N/A,24.5,1,0,135.jpg
"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,8960,70,525,45,Flame Pokemon,60,1000000,0.9,65,Boosterブースター,Flareon,88.1,136,95,110,65,fire,N/A,25,1,0,136.jpg
"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,395,45,Virtual Pokemon,70,1000000,0.8,65,Porygonポリゴン,Porygon,N/A,137,85,75,40,normal,N/A,36.5,1,0,137.jpg
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,7680,70,355,45,Spiral Pokemon,100,1000000,0.4,35,Omniteオムナイト,Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0,138.jpg
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,7680,70,495,45,Spiral Pokemon,125,1000000,1,70,Omstarオムスター,Omastar,88.1,139,115,70,55,rock,water,35,1,0,139.jpg
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,Shellfish Pokemon,90,1000000,0.5,30,Kabutoカブト,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0,140.jpg
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,7680,70,495,45,Shellfish Pokemon,105,1000000,1.3,60,Kabutopsカブトプス,Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0,141.jpg
"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,8960,70,615,45,Fossil Pokemon,85,1250000,1.8,80,Pteraプテラ,Aerodactyl,88.1,142,70,95,150,rock,flying,59,1,0,142.jpg
"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,10240,70,540,25,Sleeping Pokemon,65,1250000,2.1,160,Kabigonカビゴン,Snorlax,88.1,143,65,110,30,normal,N/A,460,1,0,143.jpg
"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,Freeze Pokemon,100,1250000,1.7,90,Freezerフリーザー,Articuno,N/A,144,95,125,85,ice,flying,55.4,1,1,144.jpg
"['Pressure', 'Static']",0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,20480,35,580,3,Electric Pokemon,85,1250000,1.6,90,Thunderサンダー,Zapdos,N/A,145,125,90,100,electric,flying,52.6,1,1,145.jpg
"['Pressure', 'Flame Body']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,20480,35,580,3,Flame Pokemon,90,1250000,2,90,Fireファイヤー,Moltres,N/A,146,125,85,90,fire,flying,60,1,1,146.jpg
"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,Dragon Pokemon,45,1250000,1.8,41,Miniryuミニリュウ,Dratini,50,147,50,50,50,dragon,N/A,3.3,1,0,147.jpg
"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,10240,35,420,45,Dragon Pokemon,65,1250000,4,61,Hakuryuハクリュー,Dragonair,50,148,70,70,70,dragon,N/A,16.5,1,0,148.jpg
"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,10240,35,600,45,Dragon Pokemon,95,1250000,2.2,91,Kairyuカイリュー,Dragonite,50,149,100,100,80,dragon,flying,210,1,0,149.jpg
"['Pressure', 'Unnerve']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,30720,0,780,3,Genetic Pokemon,70,1250000,2,106,Mewtwoミュウツー,Mewtwo,N/A,150,194,120,140,psychic,N/A,122,1,1,150.jpg
['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,30720,100,600,45,New Species Pokemon,100,1059860,0.4,100,Mewミュウ,Mew,N/A,151,100,100,100,psychic,N/A,4,1,1,151.jpg
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,5120,70,318,45,Leaf Pokemon,65,1059860,0.9,45,Chicoritaチコリータ,Chikorita,88.1,152,49,65,45,grass,N/A,6.4,2,0,152.jpg
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,Leaf Pokemon,80,1059860,1.2,60,Bayleafベイリーフ,Bayleef,88.1,153,63,80,60,grass,N/A,15.8,2,0,153.jpg
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,5120,70,525,45,Herb Pokemon,100,1059860,1.8,80,Meganiumメガニウム,Meganium,88.1,154,83,100,80,grass,N/A,100.5,2,0,154.jpg
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Fire Mouse Pokemon,43,1059860,0.5,39,Hinoarashiヒノアラシ,Cyndaquil,88.1,155,60,50,65,fire,N/A,7.9,2,0,155.jpg
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Volcano Pokemon,58,1059860,0.9,58,Magmarashiマグマラシ,Quilava,88.1,156,80,65,80,fire,N/A,19,2,0,156.jpg
"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,5120,70,534,45,Volcano Pokemon,78,1059860,1.7,78,Bakphoonバクフーン,Typhlosion,88.1,157,109,85,100,fire,N/A,79.5,2,0,157.jpg
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,Big Jaw Pokemon,64,1059860,0.6,50,Waninokoワニノコ,Totodile,88.1,158,44,48,43,water,N/A,9.5,2,0,158.jpg
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,5120,70,405,45,Big Jaw Pokemon,80,1059860,1.1,65,Alligatesアリゲイツ,Croconaw,88.1,159,59,63,58,water,N/A,25,2,0,159.jpg
"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,530,45,Big Jaw Pokemon,100,1059860,2.3,85,Ordileオーダイル,Feraligatr,88.1,160,79,83,78,water,N/A,88.8,2,0,160.jpg
"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,3840,70,215,255,Scout Pokemon,34,1000000,0.8,35,Otachiオタチ,Sentret,50,161,35,45,20,normal,N/A,6,2,0,161.jpg
"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,415,90,Long Body Pokemon,64,1000000,1.8,85,Ootachiオオタチ,Furret,50,162,45,55,90,normal,N/A,32.5,2,0,162.jpg
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,262,255,Owl Pokemon,30,1000000,0.7,60,Hohoホーホー,Hoothoot,50,163,36,56,50,normal,flying,21.2,2,0,163.jpg
"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,452,90,Owl Pokemon,50,1000000,1.6,100,Yorunozukuヨルノズク,Noctowl,50,164,86,96,70,normal,flying,40.8,2,0,164.jpg
"['Swarm', 'Early Bird', 'Rattled']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,3840,70,265,255,Five Star Pokemon,30,800000,1,40,Redibaレディバ,Ledyba,50,165,40,80,55,bug,flying,10.8,2,0,165.jpg
"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,3840,70,390,90,Five Star Pokemon,50,800000,1.4,55,Redianレディアン,Ledian,50,166,55,110,85,bug,flying,35.6,2,0,166.jpg
